Date,Close/Last,Open,High,Low,SP500_Daily_Return,SP500_Return_Lag1,SP500_Return_Lag3,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2015-05-14,2121.1,2100.43,2121.45,2100.43,,,,,,,,,,,
2015-05-15,2122.73,2122.07,2123.89,2116.79,0.0007684691905143204,,,0.07684691905143204,0.0007684691905143204,,,,,,
2015-05-18,2129.2,2121.3,2131.78,2120.01,0.003047961822747025,0.0007684691905143204,,0.3047961822747025,0.003818773278015941,,,,,,
2015-05-19,2127.83,2129.45,2133.02,2124.5,-0.0006434341536727395,0.003047961822747025,,-0.06434341536727395,0.003172881995191057,,,,,,
2015-05-20,2125.85,2127.79,2134.72,2122.59,-0.0009305254649102368,-0.0006434341536727395,0.0007684691905143204,-0.09305254649102368,0.002239404082787111,,,,,2125.3419999999996,
2015-05-21,2130.82,2125.55,2134.28,2122.95,0.002337888374062347,-0.0009305254649102368,0.003047961822747025,0.23378883740623468,0.004582527933619351,0.027984065244787432,,0.0045825279336195734,,2127.286,
2015-05-22,2126.06,2130.36,2132.15,2126.06,-0.0022338817919862475,0.002337888374062347,-0.0006434341536727395,-0.22338817919862475,0.0023384093159208863,0.035961878305402074,,0.0015687346011974412,,2127.952,
2015-05-25,2126.06,0.0,0.0,0.0,0.0,-0.0022338817919862475,-0.0009305254649102368,0.0,0.0023384093159208863,0.02668580162815629,,-0.0014747322938192253,,2127.324,
2015-05-26,2104.2,2125.34,2125.34,2099.18,-0.01028192995494015,0.0,0.002337888374062347,-1.028192995494015,-0.007967563999811578,0.07628043126568394,,-0.011105210472641236,,2122.5980000000004,
2015-05-27,2123.48,2105.13,2126.22,2105.13,0.00916262712669913,-0.01028192995494015,-0.0022338817919862475,0.916262712669913,0.0011220593088492326,0.11222771964584148,,-0.0011148481783757047,,2122.1240000000003,
2015-05-28,2120.79,2122.27,2122.27,2112.86,-0.0012667884792887385,0.00916262712669913,0.0,-0.12667884792887385,-0.000146150582244986,0.10998123528745549,,-0.004707108061685283,,2120.1179999999995,
2015-05-29,2107.39,2120.66,2120.66,2104.89,-0.006318400218786491,-0.0012667884792887385,-0.01028192995494015,-0.6318400218786491,-0.00646362736316064,0.11666551553619621,,-0.008781501933153413,,2116.3839999999996,
2015-06-01,2111.73,2108.64,2119.15,2102.54,0.0020594194714789182,-0.006318400218786491,0.00916262712669913,0.20594194714789182,-0.004417519211729837,0.11948363758297102,,-0.0067401672577442895,,2113.518,
2015-06-02,2109.6,2110.41,2117.59,2099.14,-0.0010086516742198182,0.0020594194714789182,-0.0012667884792887385,-0.10086516742198182,-0.005421715147800876,0.09027479767093191,,0.0025662959794696683,,2114.5979999999995,
2015-06-03,2114.07,2110.64,2121.92,2109.61,0.0021188850967008843,-0.0010086516742198182,-0.006318400218786491,0.21188850967008843,-0.003314318042525244,0.05463218507218119,,-0.004431405052084281,,2112.716,
2015-06-04,2095.84,2112.35,2112.89,2093.23,-0.008623177094419732,0.0021188850967008843,0.0020594194714789182,-0.8623177094419732,-0.011908915185517066,0.07789596279168236,,-0.01176448398945662,,2107.726,
2015-06-05,2092.83,2095.09,2100.99,2085.67,-0.0014361783342240475,-0.008623177094419732,-0.0010086516742198182,-0.14361783342240475,-0.013327990193767514,0.06950263647639411,,-0.00690902016238093,,2104.8140000000003,
2015-06-08,2079.28,2092.34,2093.01,2079.11,-0.00647448669982742,-0.0014361783342240475,0.0021188850967008843,-0.647448669982742,-0.019716184998349928,0.06931830693897462,,-0.015366547806774489,,2098.3239999999996,
2015-06-09,2080.15,2079.07,2085.62,2072.14,0.00041841406640763523,-0.00647448669982742,-0.008623177094419732,0.04184140664076352,-0.01930602046108154,0.07267026119310653,,-0.013959992415623734,,2092.434,
