iter	RMSE
0	3.057643762
1	3.02383412
2	2.984971599
3	2.9550738
4	2.923929739
5	2.897192287
6	2.86898958
7	2.845484241
8	2.828900313
9	2.810487953
10	2.787472714
11	2.772539299
12	2.74295235
13	2.729177293
14	2.715225328
15	2.698135697
16	2.684065678
17	2.665578781
18	2.655260188
19	2.641652725
20	2.62796352
21	2.610849162
22	2.596465384
23	2.58114861
24	2.571532768
25	2.559793104
26	2.545689247
27	2.527557383
28	2.515414833
29	2.504098254
30	2.496003672
31	2.487484969
32	2.476021545
33	2.466420608
34	2.452333477
35	2.443579852
36	2.431068401
37	2.419070677
38	2.410477349
39	2.400867941
40	2.385739516
41	2.367964365
42	2.359965152
43	2.34952893
44	2.333477968
45	2.327455714
46	2.321370765
47	2.310999302
48	2.296112958
49	2.290623506
50	2.278824098
51	2.269839205
52	2.262960196
53	2.252549912
54	2.247140871
55	2.242859132
56	2.239054362
57	2.224825411
58	2.218725956
59	2.214117663
60	2.205684785
61	2.200983059
62	2.19556733
63	2.186160566
64	2.178240943
65	2.171472546
66	2.165786119
67	2.154883438
68	2.141866142
69	2.136433816
70	2.126305163
71	2.123452703
72	2.114259339
73	2.102438595
74	2.091011816
75	2.08246003
76	2.072926357
77	2.065290206
78	2.057277754
79	2.051042953
80	2.048987226
81	2.042475472
82	2.038589847
83	2.034131727
84	2.027448947
85	2.017599535
86	2.012389438
87	2.005265872
88	2.002049151
89	1.9959844
90	1.992438423
91	1.982192957
92	1.975499986
93	1.968125298
94	1.963132233
95	1.955775579
96	1.946739752
97	1.944500527
98	1.94033223
99	1.936005327
100	1.933016396
101	1.931210293
102	1.923113116
103	1.917794327
104	1.914361766
105	1.907503432
106	1.903329239
107	1.898281357
108	1.895699591
109	1.89255155
110	1.889434989
111	1.881670713
112	1.877395026
113	1.869094626
114	1.866323468
115	1.860360631
116	1.855796283
117	1.851605223
118	1.846722723
119	1.840356663
120	1.831789067
121	1.825182028
122	1.822797144
123	1.818145856
124	1.814909609
125	1.812179797
126	1.810006764
127	1.807607735
128	1.800871152
129	1.797155237
130	1.793364551
131	1.789297747
132	1.784620222
133	1.778828299
134	1.771757994
135	1.768975189
136	1.765186985
137	1.758867632
138	1.757160111
139	1.752507294
140	1.748271134
141	1.745580018
142	1.743536546
143	1.740636765
144	1.737961452
145	1.736526147
146	1.729305772
147	1.727907465
148	1.724189824
149	1.721578402
150	1.719295867
151	1.716721573
152	1.711020933
153	1.704948101
154	1.703758759
155	1.700124952
156	1.697752426
157	1.694263894
158	1.689873411
159	1.687880655
